Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure ID,Measure Name,Score,Sample,Location
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,(570) 824-3521,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,76,96,POINT (-75.83691000000002 41.248299)
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,SUB_2,Alcohol use brief intervention provided or offered,99,87,POINT (-91.547615 41.664557)
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,(910) 488-2120,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-78.878476 35.089013)
33014F,VA HUDSON VALLEY HEALTHCARE SYSTEM - CASTLE POINT,41 CASTLE POINT ROAD,WAPPINGERS FALLS,NY,12590,DUTCHESS,(845) 831-2000,HBIPS-2,Hours of physical-restraint use,0,0,POINT (-73.96222 41.540469)
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,(765) 674-3321,HBIPS-2,Hours of physical-restraint use,0,3993,POINT (-85.637229 40.523747)
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,HBIPS-2,Hours of physical-restraint use,0,0,POINT (-86.800922 33.504722)
51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,(304) 623-3461,SUB_2,Alcohol use brief intervention provided or offered,92,50,
36007F,DAYTON VA MEDICAL CENTER,4100 WEST THIRD STREET,DAYTON,OH,45428,MONTGOMERY,(937) 268-6511,SUB_2,Alcohol use brief intervention provided or offered,97,72,POINT (-84.253134 39.749383)
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,72,167,POINT (-118.4529 34.053085)
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,HBIPS-3,Hours of seclusion,0,7691,POINT (-73.902909 40.868985)
23011F,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER ROAD,ANN ARBOR,MI,48105,WASHTENAW,(734) 769-7100,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,73,96,POINT (-83.712175 42.287103)
26023F,COLUMBIA MO VA MEDICAL CENTER,800 HOSPITAL DR,COLUMBIA,MO,65201,BOONE,(573) 814-6000,HBIPS-2,Hours of physical-restraint use,0,2866,POINT (-92.327558 38.9376)
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-84.310504 33.802903)
34017F,W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER (SALSBURY),1601 BRENNER AVENUE,SALISBURY,NC,28144,ROWAN,(704) 638-9000,HBIPS-3,Hours of seclusion,0,10676,POINT (-80.486145 35.683593)
38004F,VA ROSEBURG HEALTHCARE SYSTEM,913 NW GARDEN VALLEY BLVD.,ROSEBURG,OR,97471,DOUGLAS,(541) 440-1000,HBIPS-2,Hours of physical-restraint use,0,1839,POINT (-123.36593599999999 43.228267)
50030F,SEATTLE VA MEDICAL CENTER (VA PUGET SOUND HEALTHCARE SYSTEM),1660 S. COLUMBIAN WAY,SEATTLE,WA,98108,KING,(206) 764-2299,HBIPS-2,Hours of physical-restraint use,0,6050,POINT (-122.31103200000001 47.561986)
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,(423) 926-1171,TOB_2,Tobacco Use Treatment Provided or Offered,98,251,POINT (-82.373087 36.311185)
46002F,VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER,500 FOOTHILL BLVD.,SALT LAKE CITY,UT,84148,SALT LAKE,(801) 584-1211,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,70,122,POINT (-111.84137500000001 40.758438)
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,(847) 688-1900,HBIPS-3,Hours of seclusion,0,7156,POINT (-87.862407 42.308183)
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,(859) 233-4511,HBIPS-2,Hours of physical-restraint use,0,3061,POINT (-84.50609200000001 38.029351)
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,(410) 642-2411,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,
49006F,HAMPTON VA MEDICAL CENTER,100 EMANCIPATION DRIVE,HAMPTON,VA,23667,HAMPTON CITY,(757) 722-9961,SUB_2,Alcohol use brief intervention provided or offered,54,98,POINT (-76.33085500000001 37.018442)
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,TOB_2,Tobacco Use Treatment Provided or Offered,95,186,POINT (-86.800922 33.504722)
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,(505) 256-2889,TOB_2,Tobacco Use Treatment Provided or Offered,93,199,POINT (-106.577661 35.054456)
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,HBIPS-2,Hours of physical-restraint use,0,4527,POINT (-77.01030600000001 38.928884)
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,HBIPS-3,Hours of seclusion,0,4697,POINT (-91.547615 41.664557)
25042F,VA GULF COAST HEALTHCARE SYSTEM,400 VETERANS AVENUE,BILOXI,MS,39531,HARRISON,(228) 523-5000,HBIPS-3,Hours of seclusion,0,5756,POINT (-88.946928 30.410716000000004)
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,(973) 676-1000,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,90,30,POINT (-74.234193 40.753827)
43002F,VA BLACK HILLS HEALTHCARE SYSTEM - FORT MEADE,113 COMANCHE ROAD,FORT MEADE,SD,57741,MEADE,(605) 347-2511,HBIPS-3,Hours of seclusion,0,1145,POINT (-103.478243 44.412816)
39009F,PHILADELPHIA VA MEDICAL CENTER,3900 WOODLAND AVENUE,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 823-5857,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-75.200386 39.949643)
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,(316) 685-2221,TOB_2,Tobacco Use Treatment Provided or Offered,91,133,
44013F,MEMPHIS VA MEDICAL CENTER,1030 JEFFERSON AVENUE,MEMPHIS,TN,38104,SHELBY,(901) 577-7200,TOB_2,Tobacco Use Treatment Provided or Offered,31,281,POINT (-90.025951 35.142527)
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,(217) 554-3000,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,93,165,POINT (-87.59243 40.131808)
39004F,COATESVILLE VA MEDICAL CENTER,1400 BLACK HORSE HILL ROAD,COATESVILLE,PA,19320,CHESTER,(610) 384-7711,SUB_2,Alcohol use brief intervention provided or offered,92,208,POINT (-75.799094 39.999488)
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,85,198,POINT (-86.246406 32.37896)
25043F,G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON),1500 E. WOODROW WILSON DRIVE,JACKSON,MS,39216,HINDS,(601) 362-4471,HBIPS-3,Hours of seclusion,0,4434,POINT (-90.168601 32.326805)
25043F,G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON),1500 E. WOODROW WILSON DRIVE,JACKSON,MS,39216,HINDS,(601) 362-4471,HBIPS-2,Hours of physical-restraint use,0,4434,POINT (-90.168601 32.326805)
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-118.118925 33.776172)
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,(828) 298-7911,TOB_2,Tobacco Use Treatment Provided or Offered,94,218,POINT (-82.485056 35.587106)
36003F,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,CINCINNATI,OH,45220,HAMILTON,(513) 861-3100,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,73,124,POINT (-84.509485 39.137762)
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINESVILLE,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,53,154,POINT (-82.345877 29.638214)
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-74.02437 40.609461)
52002F,TOMAH VA MEDICAL CENTER,500 EAST VETERANS STREET,TOMAH,WI,54660,MONROE,(608) 372-3971,TOB_2,Tobacco Use Treatment Provided or Offered,94,245,POINT (-90.49392 44.001108)
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,HBIPS-3,Hours of seclusion,0,10507,POINT (-97.349105 31.077985000000005)
33014F,VA HUDSON VALLEY HEALTHCARE SYSTEM - CASTLE POINT,41 CASTLE POINT ROAD,WAPPINGERS FALLS,NY,12590,DUTCHESS,(845) 831-2000,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,0,0,POINT (-73.96222 41.540469)
45060F,VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,POTTER,(806) 355-9703,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-101.905207 35.203175)
49010F,RICHMOND VA MEDICAL CENTER,1201 BROAD ROCK BOULEVARD,RICHMOND,VA,23249,RICHMOND CITY,(804) 675-5000,SUB_2,Alcohol use brief intervention provided or offered,79,94,POINT (-77.470208 37.498719)
23005F,IRON MOUNTAIN MI VA MEDICAL CENTER,325 EAST H STREET,IRON MOUNTAIN,MI,49801,DICKINSON,(906) 774-3300,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,98,45,POINT (-88.061578 45.81147800000001)
35002F,FARGO VA MEDICAL CENTER,2101 ELM STREET,FARGO,ND,58102,CASS,(701) 232-3241,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,84,67,POINT (-96.776868 46.906445)
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,SUB_2,Alcohol use brief intervention provided or offered,82,77,POINT (-80.215294 25.790451)
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,69,64,
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,(706) 823-2201,HBIPS-2,Hours of physical-restraint use,0,5731,POINT (-82.025292 33.468204)
26009F,ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER,915 NORTH GRAND,ST. LOUIS,MO,63106,ST. LOUIS,(314) 652-4100,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,50,22,POINT (-90.229852 38.641448)
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,(478) 277-2701,TOB_2,Tobacco Use Treatment Provided or Offered,94,50,POINT (-82.943102 32.539309)
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,HBIPS-2,Hours of physical-restraint use,0,13693,POINT (-92.320904 34.744875)
51004F,HUNTINGTON VA MEDICAL CENTER,1540 SPRING VALLEY ROAD,HUNTINGTON,WV,25704,WAYNE,(304) 429-0241,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-82.51750400000002 38.384145)
45074F,HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON,TX,77030,HARRIS,(713) 794-7100,HBIPS-3,Hours of seclusion,0,16032,POINT (-95.388512 29.706565)
27003F,VA MONTANA HEALTHCARE SYSTEM,3687 VETERANS DRIVE,FORT HARRISON,MT,59636,LEWIS AND CLARK,(406) 447-7900,SUB_2,Alcohol use brief intervention provided or offered,92,63,POINT (-112.10197000000001 46.61772)
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,HBIPS-2,Hours of physical-restraint use,0,5122,POINT (-110.968281 32.181434)
19047F,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,2400 CANAL STREET,NEW ORLEANS,LA,70119,ORLEANS,(800) 935-8387,HBIPS-2,Hours of physical-restraint use,0,0,POINT (-90.084493 29.963517999999997)
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,(207) 623-8411,HBIPS-3,Hours of seclusion,0,3812,POINT (-69.703621 44.280377)
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,(781) 275-7500,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-71.273272 42.506248)
37012F,MUSKOGEE VA MEDICAL CENTER,1011 HONOR HEIGHTS DRIVE,MUSKOGEE,OK,74401,MUSKOGEE,(918) 577-3000,HBIPS-3,Hours of seclusion,0,4141,POINT (-95.413756 35.765237)
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,(702) 791-9024,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,66,231,POINT (-115.094049 36.284964)
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,HBIPS-3,Hours of seclusion,0,3744,POINT (-94.157097 36.077232)
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,HBIPS-3,Hours of seclusion,0,5122,POINT (-110.968281 32.181434)
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,SUB_2,Alcohol use brief intervention provided or offered,89,93,POINT (-79.953355 32.785313)
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,(913) 682-2000,TOB_2,Tobacco Use Treatment Provided or Offered,69,167,POINT (-95.724956 39.027448)
25043F,G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON),1500 E. WOODROW WILSON DRIVE,JACKSON,MS,39216,HINDS,(601) 362-4471,TOB_2,Tobacco Use Treatment Provided or Offered,96,129,POINT (-90.168601 32.326805)
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,77,107,POINT (-119.780173 36.772278)
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,BEXAR,(210) 617-5300,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,82,195,POINT (-98.578929 29.506888)
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,92,12,POINT (-87.48930600000001 33.192627)
37014F,OKLAHOMA CITY VA MEDICAL CENTER,921 NE 13TH STREET,OKLAHOMA CITY,OK,73104,OKLAHOMA,(405) 270-0501,HBIPS-2,Hours of physical-restraint use,0,7141,POINT (-97.495568 35.482408)
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,DUBLIN,GA,31021,LAURENS,(478) 277-2701,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,80,25,POINT (-82.943102 32.539309)
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,BELL,(254) 778-4811,TOB_2,Tobacco Use Treatment Provided or Offered,87,220,POINT (-97.349105 31.077985000000005)
51004F,HUNTINGTON VA MEDICAL CENTER,1540 SPRING VALLEY ROAD,HUNTINGTON,WV,25704,WAYNE,(304) 429-0241,TOB_2,Tobacco Use Treatment Provided or Offered,89,109,POINT (-82.51750400000002 38.384145)
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,(612) 725-2000,HBIPS-2,Hours of physical-restraint use,0,6675,
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,HBIPS-2,Hours of physical-restraint use,0,4079,POINT (-76.13815100000001 43.038832)
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,(203) 932-5711,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-72.957522 41.284944)
38004F,VA ROSEBURG HEALTHCARE SYSTEM,913 NW GARDEN VALLEY BLVD.,ROSEBURG,OR,97471,DOUGLAS,(541) 440-1000,TOB_2,Tobacco Use Treatment Provided or Offered,79,169,POINT (-123.36593599999999 43.228267)
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,(412) 688-6100,HBIPS-3,Hours of seclusion,0,20781,
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS,TX,75216,DALLAS,(214) 742-8387,HBIPS-2,Hours of physical-restraint use,0,8002,POINT (-96.79297100000001 32.694165)
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM CITY,(540) 982-2463,HBIPS-3,Hours of seclusion,0,9548,POINT (-80.02160400000001 37.276804)
52003F,MILWAUKEE VA MEDICAL CENTER,5000 W. NATIONAL AVENUE,MILWAUKEE,WI,53295,MILWAUKEE,(414) 384-2000,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,87,196,POINT (-87.976053 43.019558)
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,TOB_2,Tobacco Use Treatment Provided or Offered,74,174,POINT (-77.01030600000001 38.928884)
23009F,SAGINAW VA MEDICAL CENTER,1500 WEISS STREET,SAGINAW,MI,48602,SAGINAW,(989) 497-2500,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-83.960989 43.443673)
23012F,BATTLE CREEK VA MEDICAL CENTER,5500 ARMSTRONG RD.,BATTLE CREEK,MI,49037,CALHOUN,(269) 966-5600,SUB_2,Alcohol use brief intervention provided or offered,98,174,POINT (-85.297885 42.340162)
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,(312) 569-8387,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,54,212,POINT (-87.676429 41.870597)
36001F,CLEVELAND-WADE PARK VA MEDICAL CENTER,10701 EAST BLVD,CLEVELAND,OH,44106,CUYAHOGA,(216) 791-3800,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,0,0,POINT (-81.613526 41.51251)
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,(607) 664-4000,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,91,129,POINT (-77.344933 42.34328)
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,HBIPS-3,Hours of seclusion,0,6109,POINT (-80.107329 26.784077)
36008F,CHILLICOTHE VA MEDICAL CENTER,17273 STATE ROUTE 104,CHILLICOTHE,OH,45601,ROSS,(740) 773-1141,HBIPS-3,Hours of seclusion,0,6181,POINT (-83.012669 39.390327)
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,(401) 457-3042,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,83,18,POINT (-71.434938 41.833915)
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,SUB_2,Alcohol use brief intervention provided or offered,80,66,POINT (-116.194686 43.619026)
